,Tweet,Polarity
4238, have you people lost your minds no one in their right mind would choose to live therei guess this is the lefts vision of utopia  have fun won't see me there ,N
4239, terrible living design to containerize people all brought to you by the killers of jamal khashoggi and islamists that can't handle criticism,0
4240, hell on earth,N
4241, so you can fly inside this dystopian city - that's amazing - not what's outside the line crap - ebatteries wind turbine towers and sails old diesel and petrol carsthat's why they don't want you to be able to ever leave,N
4242, floating trees  really #neom,N
4243, thats cool when do we get the hover cars,P
4244," trees don't thrive like that
nature needs connection: fungal connections between plants the soil and animal life forms it needs to decay and re-cycle plants need animals 
you can plant it  but to sustain it you would need masses of artificial sustenance",N
4245," residents will be required to medicate with soma
",N
4246, bloody awful ,N
4247, better question: who the fuck will own the line,N
4248, littlevagaries will the sun's rays be a problem i imagine the sides of this thing could get quite hot due to the sun and the arabian heat can be very dangerous,N
4249," residents will be required to medicate with soma 
",N
4250, nightmare,N
4251, leeds student jailed for  years after tweeting about saudi arabia  via metrouk,0
4252," yes i've been to one of those it's called a shopping mall 

living in the line will make you an ant in their ant farm",N
4253," awesome i can imagine a well designed community that promotes healthy lifestyle and easy access seems like a well engineered living space for the desert

what happens if the electric goes out",P
4254, cant wait for the first horror film that is based on this city,N
4255, saudi woman given -year prison sentence for using twitter ,0
4256, bloody hope not long live history and culture who really want homogenised living,N
4257, what a terrible idea its a re-hash of superstudios theoretical utopian idea from the s ,N
4258, horrible hope it fails,N
4259, will gay men still be beheaded in the line,0
4260, itll be overrun in a weeks time watch,N
4261, shite,N
4262, you forgot to post this in english :),U
4263, looks scary,N
4264, hard pass,N
4265, would be stuck in tight spaces with some absolute lunatics though,N
4266, this is a really dumb idea for a variety of reasons,N
4267, this is not a winner you think it is quite the opposite dystopian dark and frankly terribly claustrophobic,N
4268, im bored just trying to imagine how boring it would be,N
4269, trashfuturepod thanks to you i know this madness,N
4270, why are you paying to advertise this in the us,N
4271, fake place,N
4272, once openif alivei will step on it,N
4273, assume  it's will be great job we pray for that,P
4274, it looks cool but what a waste of money,N
4275, so this is where the rich people will be hiding with the only poor people being the 'help' bring it on it'll be easier to find them when the revolution starts,N
4276,  in der,U
4277, imagine being in the lower floors and trying to see the sun ,N
4278, what sort of cuck shit is this,N
4279, it's the worst project idea on earth,N
4280, and if fire breaks out,N
4281, i didn't see any external doors so is it a prison,N
4282, looks like  the offspring of bollywood  fantasia ,N
4283," this city is not realistic
i cant imagine how it will work  and for how long
in the middle of the desert 
and with sustainability
dont think so
lets see i could be totally wrong",N
4284," the line is dystopian 

what an awful design",N
4285, looks ,U
4286, are we all just glossing over the flying trees,N
